ecli,drug,relevant_countries
ECLI:NL:RBZWB:2019:2797,pillen,[' Netherlands']
ECLI:NL:RBZWB:2019:2797,mdma,[' Netherlands']
ECLI:NL:RBZWB:2019:2797,amfetaminepasta,[' Netherlands']
ECLI:NL:RBOBR:2020:3546,drugs,[' Netherlands']
ECLI:NL:RBGEL:2016:6494,mdma,"['Belgium', ' Netherlands', ' Belgium']"
ECLI:NL:RBGEL:2016:6494,pmk,"['Belgium', ' Netherlands', ' Belgium']"
ECLI:NL:RBGEL:2016:6494,drugs,"[' Netherlands', 'Belgium', ' Belgium']"
ECLI:NL:RBGEL:2016:6494,harddrugs,[' Netherlands']
ECLI:NL:RBGEL:2016:6494,xtc,[' Netherlands']
ECLI:NL:RBGEL:2019:1781,drugs,[' Netherlands']
ECLI:NL:GHAMS:2021:3549,drugs,[' United Kingdom']
ECLI:NL:RBZWB:2021:3402,drugs,[' Netherlands']
ECLI:NL:GHSHE:2018:2676,drugs,[' Netherlands']
ECLI:NL:RBROT:2022:1386,drugs,[' Netherlands']
ECLI:NL:RBGEL:2016:6468,mdma,"['Belgium', ' Netherlands', ' Belgium']"
ECLI:NL:RBGEL:2016:6468,pmk,"['Belgium', ' Netherlands', ' Belgium']"
ECLI:NL:RBGEL:2016:6468,drugs,"[' Netherlands', 'Belgium', ' Belgium']"
ECLI:NL:RBGEL:2016:6495,drugs,"[' Netherlands', ' Belgium']"
ECLI:NL:RBGRO:2009:BI0982,drugs,['Germany']
ECLI:NL:RVS:2016:2376,drugs,"[' Italy', ' Netherlands']"
ECLI:NL:RBLIM:2013:11777,amfetamine,"['Germany', ' Spain']"
ECLI:NL:RBLIM:2013:11777,xtc-tabletten,['Germany']
ECLI:NL:RBLIM:2013:11777,cafeïne,['Germany']
ECLI:NL:RBLIM:2013:11777,xtc,[' Spain']
ECLI:NL:RBLIM:2013:12372,amfetamine,"['Germany', ' Spain']"
ECLI:NL:RBLIM:2013:12372,xtc-tabletten,['Germany']
ECLI:NL:RBLIM:2013:12372,cafeïne,['Germany']
ECLI:NL:RBLIM:2013:12372,xtc,[' Spain']
ECLI:NL:RBLIM:2013:12370,amfetamine,"['Germany', ' Spain']"
ECLI:NL:RBLIM:2013:12370,xtc-tabletten,['Germany']
ECLI:NL:RBLIM:2013:12370,cafeïne,['Germany']
ECLI:NL:RBLIM:2013:12370,xtc,[' Spain']
ECLI:NL:RBLIM:2013:12378,amfetamine,[' Spain']
ECLI:NL:RBLIM:2013:12378,xtc,[' Spain']
ECLI:NL:RBDHA:2021:8040,formamide,[' Netherlands']
ECLI:NL:RBDHA:2021:8040,amfetamine,[' Netherlands']
ECLI:NL:RBDHA:2021:8040,bmk,[' Netherlands']
ECLI:NL:RBDHA:2021:8040,mdma,[' Netherlands']
ECLI:NL:RBOBR:2017:3064,drugs,"[' Netherlands', 'Netherlands']"
ECLI:NL:GHSHE:2021:2069,drugs,[' Belgium']
ECLI:NL:RBOBR:2018:3042,drugs,[' Netherlands']
