ecli,drug,relevant_countries
ECLI:NL:PHR:2016:304,drugs,"[' Belgium', ' Anchorage']"
ECLI:NL:PHR:2016:304,hennep,[' Netherlands']
ECLI:NL:PHR:2016:305,drugs,"[' Belgium', ' Anchorage']"
ECLI:NL:PHR:2016:305,hennep,[' Netherlands']
ECLI:NL:RBOBR:2019:2984,amfetamine,"['China', 'Germany', 'Denmark', 'Netherlands']"
ECLI:NL:RBOBR:2019:2984,mdma,['Germany']
ECLI:NL:RBOBR:2019:2984,harddrugs,['Germany']
ECLI:NL:RBOBR:2019:2984,apaan,"['China', 'Netherlands']"
ECLI:NL:RBOBR:2019:2984,bmk,"['China', 'Netherlands']"
ECLI:NL:RBOBR:2019:2984,amfetamineolie,['Denmark']
ECLI:NL:GHAMS:2010:BM6064,cocaïne,"['Netherlands', ' Belgium', ' United Kingdom']"
ECLI:NL:RBZWB:2022:224,drugs,['Belgium']
ECLI:NL:RBZWB:2022:224,cannabis,['Belgium']
ECLI:NL:PHR:2017:56,cocaine,"[' Netherlands', 'United States', ' Morocco']"
ECLI:NL:PHR:2017:56,drugs,"[' Netherlands', 'United States']"
ECLI:NL:PHR:2008:BC3763,heroïne,[' United Kingdom']
ECLI:NL:RBAMS:2017:3253,harddrugs,"['Belgium', ' Netherlands']"
ECLI:NL:RBAMS:2017:3253,crystal,[' Netherlands']
ECLI:NL:RBAMS:2017:3253,methamfetamine,[' Netherlands']
ECLI:NL:RBZWB:2015:994,amfetamine,[' Netherlands']
ECLI:NL:RBMAA:2010:BO4034,drugs,"[' Benin', 'Luxembourg', ' Netherlands']"
ECLI:NL:RBAMS:2018:4590,marihuana,['Norway']
ECLI:NL:RBAMS:2018:4590,hasj,['Norway']
ECLI:NL:RBAMS:2018:4590,heroïne,['Norway']
ECLI:NL:RBAMS:2018:4580,heroïne,['Norway']
ECLI:NL:RBAMS:2018:4580,marihuana,['Norway']
ECLI:NL:RBAMS:2018:4580,hasj,"['Norway', 'Netherlands', 'Spain']"
ECLI:NL:CRVB:2007:BA2874,drugs,[' Netherlands']
ECLI:NL:OGHACMB:2017:236,cocaïne,[' Netherlands']
ECLI:NL:RBOBR:2015:2499,amfetamine,[' Netherlands']
ECLI:NL:RBOBR:2015:2499,drugs,[' Netherlands']
ECLI:NL:GHSGR:2012:BY1963,cocaïne,"['Suriname', 'Netherlands']"
ECLI:NL:RBUTR:2010:BM0307,heroïne,['India']
ECLI:NL:RVS:2017:115,drugs,['Germany']
ECLI:NL:RBNNE:2020:2816,amfetamine,"[' Netherlands', ' United Kingdom']"
ECLI:NL:RBNNE:2020:2816,amfetamineolie,[' Netherlands']
ECLI:NL:RBNNE:2020:2816,drugs,[' United Kingdom']
ECLI:NL:RBNNE:2020:2816,formamide,[' United Kingdom']
ECLI:NL:RBLIM:2018:4437,bmk,[' Namibia']
ECLI:NL:RBLIM:2018:4437,apaa,[' Namibia']
ECLI:NL:RBLIM:2018:4437,mdma,[' Namibia']
ECLI:NL:RBLIM:2018:4437,amfetamine,[' Namibia']
ECLI:NL:RBALK:2010:BO7285,harddrugs,[' Netherlands']
ECLI:NL:RBZWB:2021:3613,drugs,[' Belgium']
ECLI:NL:GHSHE:2019:4865,amfetamine,[' United Kingdom']
ECLI:NL:GHSHE:2019:4865,amfetaminebase,[' United Kingdom']
ECLI:NL:RBOBR:2019:1338,drugs,[' Netherlands']
ECLI:NL:RBROT:2020:12526,cocaïne,[' Netherlands']
ECLI:NL:RBNNE:2019:3562,drugs,[' Netherlands']
ECLI:NL:RBNHO:2021:3579,drugs,"['Ireland', 'Norway', 'Netherlands']"
ECLI:NL:RBNHO:2021:3579,cocaïne,['Ireland']
ECLI:NL:RBOVE:2021:2405,harddrugs,"[' Slovakia', ' Netherlands', ' Belgium']"
ECLI:NL:GHSHE:2019:4867,amfetamine,[' United Kingdom']
ECLI:NL:GHSHE:2019:4867,amfetaminebase,[' United Kingdom']
ECLI:NL:RBOBR:2017:2741,weed,[' United Kingdom']
ECLI:NL:RBOBR:2017:2741,amfetamine,[' United Kingdom']
ECLI:NL:RBOBR:2017:2741,mdma,"[' United Kingdom', ' Netherlands']"
ECLI:NL:RBOBR:2017:2741,drugs,"['United Kingdom', ' Belgium', ' Netherlands']"
ECLI:NL:RBOBR:2017:2741,harddrugs,"['United Kingdom', ' Belgium']"
ECLI:NL:RBAMS:2017:7632,drugs,[' Colombia']
ECLI:NL:RBAMS:2016:5265,ecstasy,[' Spain']
ECLI:NL:RBAMS:2016:5265,drugs,"['Germany', 'Netherlands']"
ECLI:NL:PHR:2020:902,apaan,[' Netherlands']
ECLI:NL:PHR:2020:902,bmk,[' Netherlands']
ECLI:NL:PHR:2020:902,amfetamine,[' Netherlands']
ECLI:NL:RBOBR:2016:537,amfetamine,[' Netherlands']
ECLI:NL:RBOBR:2016:537,apaan,[' Netherlands']
ECLI:NL:RBOBR:2016:537,methanol,[' Netherlands']
ECLI:NL:GHARN:2006:AX6565,drugs,['Belgium']
ECLI:NL:RBOVE:2016:2578,drugs,"[' Netherlands', 'Netherlands']"
ECLI:NL:HR:2010:BM4453,drugs,"['Netherlands', 'France', 'India']"
ECLI:NL:GHLEE:2009:BI2751,harddrugs,['Germany']
ECLI:NL:GHLEE:2009:BI2751,drugs,[' Belgium']
ECLI:NL:RBAMS:2019:4857,cocaine,['Finland']
ECLI:NL:RBAMS:2019:4857,drugs,['Finland']
ECLI:NL:PHR:2015:2655,drugs,[' Netherlands']
ECLI:NL:RBDHA:2021:5874,harddrugs,[' Netherlands']
ECLI:NL:RBDHA:2021:5874,methanol,[' Netherlands']
ECLI:NL:RBDHA:2021:5874,drugs,[' Netherlands']
ECLI:NL:RBDHA:2021:5874,amfetamineolie,[' Netherlands']
ECLI:NL:RBDHA:2021:5874,amfetamine,[' Netherlands']
ECLI:NL:RBDHA:2021:5874,mdma,[' Netherlands']
ECLI:NL:RBDHA:2021:5874,pillen,[' Netherlands']
ECLI:NL:RBNNE:2021:4445,methamfetamine,[' Netherlands']
ECLI:NL:RBNNE:2021:4445,crystal,[' Netherlands']
ECLI:NL:RBLIM:2018:1466,formamide,[' Netherlands']
ECLI:NL:RBLIM:2018:1466,amfetamine,[' Netherlands']
ECLI:NL:RBLIM:2018:1466,bmk,[' Netherlands']
ECLI:NL:RBLIM:2018:1466,drugs,[' Netherlands']
ECLI:NL:GHSHE:2021:3173,mdma,[' Netherlands']
ECLI:NL:GHSHE:2021:3173,amfetamine,[' Netherlands']
ECLI:NL:GHSHE:2021:3173,drugs,[' Netherlands']
ECLI:NL:GHSHE:2021:3173,amfetamine-olie,[' Netherlands']
ECLI:NL:RBAMS:2012:BY1871,cocaïne,[' Netherlands']
ECLI:NL:RBMNE:2021:5062,amfetamine,[' Netherlands']
ECLI:NL:RBMNE:2021:5062,mdma,[' Netherlands']
ECLI:NL:RBNNE:2021:2906,harddrugs,[' Netherlands']
ECLI:NL:RBHAA:2009:BH8214,cocaïne,"[' United Kingdom', 'Netherlands']"
ECLI:NL:RBOBR:2021:3950,bmk,[' Netherlands']
ECLI:NL:RBOBR:2021:3950,mdma,[' Netherlands']
ECLI:NL:RBOBR:2021:3950,drugs,[' Netherlands']
ECLI:NL:RBLIM:2017:6869,hasjiesj,[' Netherlands']
ECLI:NL:RBLIM:2017:6869,harddrugs,[' Spain']
ECLI:NL:GHSHE:2016:3125,xtc,"[' Belgium', ' Netherlands']"
ECLI:NL:RBMNE:2020:539,drugs,[' Dominican Republic']
ECLI:NL:RBAMS:2015:9543,drugs,"[' Germany', ' United States']"
ECLI:NL:RBROE:2011:BQ9828,marihuana,['Belgium']
ECLI:NL:RBGEL:2014:2346,drugs,"[' Switzerland', 'Switzerland']"
ECLI:NL:GHAMS:2008:BD5328,cocaïne,[' Netherlands']
ECLI:NL:GHAMS:2008:BD5328,drugs,[' United States']
ECLI:NL:RBLIM:2018:1465,formamide,[' Netherlands']
ECLI:NL:RBLIM:2018:1465,amfetamine,[' Netherlands']
ECLI:NL:RBLIM:2018:1465,bmk,[' Netherlands']
ECLI:NL:RBLIM:2018:1465,drugs,[' Netherlands']
ECLI:NL:RBAMS:2021:3453,heroïne,[' Netherlands']
ECLI:NL:RBAMS:2021:3453,cocaïne,[' Netherlands']
ECLI:NL:RBZWB:2020:2725,mdma,[' Norway']
ECLI:NL:RBZWB:2020:2725,metamfetamine,[' Norway']
ECLI:NL:RBLIM:2020:6937,cocaïne,['Germany']
ECLI:NL:RBLIM:2020:6937,hasj,['Germany']
ECLI:NL:RBLIM:2020:6937,weed,['Germany']
ECLI:NL:RBOBR:2016:4946,drugs,[' Netherlands']
ECLI:NL:RBROT:2020:12690,drugs,"['Netherlands', 'France']"
ECLI:NL:RBROT:2020:12690,heroïne,['France']
ECLI:NL:GHSHE:2018:801,formamide,[' Netherlands']
ECLI:NL:GHSHE:2018:801,drugs,[' Netherlands']
ECLI:NL:PHR:2001:AB1520,marihuana,"[' United Kingdom', ' United States', ' Isle of Man', ' Saudi Arabia', ' Australia']"
ECLI:NL:PHR:2001:AB1520,hashish,"[' United Kingdom', ' United States', ' Isle of Man', ' Saudi Arabia', ' Australia', 'Canada', ' France', ' Netherlands']"
ECLI:NL:GHSHE:2019:755,weed,[' United Kingdom']
ECLI:NL:GHSHE:2019:755,amfetamine,[' United Kingdom']
ECLI:NL:GHSHE:2019:755,mdma,[' United Kingdom']
ECLI:NL:GHSHE:2019:755,drugs,"['United Kingdom', ' Belgium']"
ECLI:NL:GHSHE:2019:755,harddrugs,"['United Kingdom', ' Belgium']"
ECLI:NL:RBLIM:2020:8114,harddrugs,"[' Netherlands', ' Belgium']"
ECLI:NL:RBLIM:2020:8114,drugs,"[' Netherlands', ' Belgium']"
ECLI:NL:GHARN:2012:BX6113,drugs,[' Netherlands']
ECLI:NL:RBMNE:2020:3270,harddrugs,[' Netherlands']
ECLI:NL:PHR:2014:2832,drugs,[' United Kingdom']
ECLI:NL:RBOVE:2022:799,drugs,[' Netherlands']
ECLI:NL:RBROE:2006:AZ4994,drugs,[' Netherlands']
ECLI:NL:RBROE:2006:AZ4994,mdma,[' Netherlands']
ECLI:NL:RBROE:2006:AZ4994,pmk,[' Netherlands']
ECLI:NL:RBROE:2006:AZ4994,bmk,[' Netherlands']
ECLI:NL:RBROE:2006:AZ4994,formamide,[' Netherlands']
ECLI:NL:RBROE:2006:AZ4994,amfetamine,[' Netherlands']
ECLI:NL:HR:2016:742,drugs,[' Anchorage']
ECLI:NL:HR:2016:742,hennep,[' Netherlands']
ECLI:NL:HR:2016:740,drugs,[' Anchorage']
ECLI:NL:HR:2016:740,hennep,[' Netherlands']
ECLI:NL:GHSHE:2021:2236,drugs,[' Netherlands']
ECLI:NL:RBAMS:2017:3310,drugs,"[' Netherlands', ' Belgium']"
ECLI:NL:RBAMS:2017:3310,harddrugs,['Belgium']
ECLI:NL:RBAMS:2017:3310,crystal,"['Belgium', ' Belgium']"
ECLI:NL:RBAMS:2017:3310,methamfetamine,"['Belgium', ' Belgium']"
ECLI:NL:RBZUT:2007:AZ7239,cocaïne,[' Netherlands']
ECLI:NL:RBZUT:2007:AZ7239,heroïne,[' Netherlands']
ECLI:NL:HR:1989:ZC8266,drugs,[' Netherlands']
ECLI:NL:RBLIM:2020:8057,drugs,[' Netherlands']
ECLI:NL:RBROT:2018:1075,mdma,['Australia']
ECLI:NL:RBOBR:2017:3665,amfetamine,[' Netherlands']
ECLI:NL:RBOBR:2017:3665,drugs,[' Netherlands']
ECLI:NL:RBOBR:2017:3665,mdma,[' Netherlands']
ECLI:NL:RBGRO:2010:BL2659,hennep,['France']
ECLI:NL:RBDHA:2019:8036,harddrugs,"[' United Kingdom', ' Belgium', 'Colombia', 'United Kingdom']"
ECLI:NL:RBDHA:2019:8036,cocaïne,"['Colombia', 'United Kingdom', ' Belgium']"
ECLI:NL:RBGEL:2014:4628,harddrugs,[' Netherlands']
ECLI:NL:RBGEL:2014:4628,cocaïne,[' Netherlands']
ECLI:NL:GHARN:2012:BX6121,drugs,[' Netherlands']
ECLI:NL:RBOBR:2022:1129,mdma,"[' Netherlands', ' Germany']"
ECLI:NL:RBOBR:2022:1129,amfetamine,[' Germany']
ECLI:NL:RBOBR:2022:1129,drugs,[' Netherlands']
ECLI:NL:RBAMS:2020:4515,cocaïne,['Turkey']
ECLI:NL:RBZWB:2020:2535,amfetamineolie,[' Netherlands']
ECLI:NL:RBZWB:2020:2535,mapa,[' Netherlands']
ECLI:NL:RBZWB:2020:2535,bmk,[' Netherlands']
ECLI:NL:RBZWB:2020:2535,amfetamine,[' Netherlands']
ECLI:NL:RBAMS:2018:1746,drugs,['Ireland']
ECLI:NL:GHSHE:2019:4874,amfetamine,[' United Kingdom']
ECLI:NL:GHSHE:2019:4874,amfetaminebase,[' United Kingdom']
ECLI:NL:RBZWB:2013:BZ7138,drugs,"[' Netherlands', ' Belgium', 'Netherlands']"
ECLI:NL:RBZWB:2013:BZ7138,amfetamine,[' Netherlands']
ECLI:NL:HR:2021:1233,amfetamine,[' United Kingdom']
ECLI:NL:HR:2021:1233,amfetaminebase,[' United Kingdom']
ECLI:NL:RBAMS:2019:4852,cocaine,['Finland']
ECLI:NL:RBAMS:2019:4852,drugs,['Finland']
ECLI:NL:GHSHE:2019:964,amfetamine,"[' Belgium', ' Netherlands']"
ECLI:NL:GHSHE:2019:964,drugs,[' Belgium']
ECLI:NL:GHSHE:2019:964,apaan,[' Belgium']
ECLI:NL:RBMAA:2010:BO2530,drugs,[' Netherlands']
ECLI:NL:RBZWO:2004:AO5083,drugs,"[' Belgium', ' Philippines']"
ECLI:NL:RBZWO:2004:AO5083,cocaïne,"[' Belgium', ' Philippines']"
ECLI:NL:RBROE:1999:AA3640,drugs,[' Netherlands']
ECLI:NL:RBOVE:2022:798,drugs,[' Netherlands']
ECLI:NL:RBOVE:2022:798,methamfetamine,[' Philippines']
ECLI:NL:PHR:2015:2656,drugs,[' Netherlands']
ECLI:NL:RBZUT:2008:BG0279,pillen,"[' Netherlands', 'Netherlands']"
ECLI:NL:RBOBR:2020:2728,drugs,[' Netherlands']
ECLI:NL:PHR:2011:BP6044,cocaïne,[' Netherlands']
ECLI:NL:RBSGR:2008:BE9232,harddrugs,[' Netherlands']
ECLI:NL:RBBRE:2009:BH7182,drugs,[' Democratic Republic of the Congo']
ECLI:NL:RBBRE:2009:BH7182,mdma,[' Democratic Republic of the Congo']
ECLI:NL:RBBRE:2009:BH7182,pillen,[' Democratic Republic of the Congo']
ECLI:NL:RBNNE:2018:5242,cocaïne,['Germany']
ECLI:NL:PHR:2017:1380,drugs,[' Netherlands']
ECLI:NL:RBMNE:2016:3259,drugs,['Spain']
ECLI:NL:RBOVE:2022:835,drugs,"[' Netherlands', 'Netherlands']"
ECLI:NL:RBDHA:2019:10916,drugs,['Turkey']
ECLI:NL:RBAMS:2021:3456,heroïne,[' Netherlands']
ECLI:NL:RBAMS:2021:3456,cocaïne,[' Netherlands']
ECLI:NL:GHSHE:2019:4869,amfetamine,[' United Kingdom']
ECLI:NL:GHSHE:2019:4869,amfetaminebase,[' United Kingdom']
ECLI:NL:RBMNE:2015:1209,cocaïne,[' Netherlands']
ECLI:NL:RBMNE:2015:1209,drugs,[' Netherlands']
ECLI:NL:RBMNE:2015:1209,harddrugs,[' Netherlands']
ECLI:NL:RBBRE:2011:BP4358,amfetamine,[' Netherlands']
ECLI:NL:RBMAA:2010:BN1373,drugs,['Morocco']
ECLI:NL:RBHAA:2009:BK8043,cocaïne,"['South America', 'Spain', 'Netherlands', ' United Kingdom', 'Germany', 'Belgium', 'Italy', 'France']"
ECLI:NL:RBHAA:2009:BK8043,hasj,"[' United Kingdom', 'Belgium', 'Netherlands']"
ECLI:NL:RBHAA:2009:BK8043,hash,"['Germany', 'Belgium', 'Spain', 'Italy', 'France', ' United Kingdom']"
ECLI:NL:RBHAA:2009:BK8043,weed,"['Germany', 'Belgium', 'Spain', 'Italy', 'France', ' United Kingdom']"
ECLI:NL:RBHAA:2009:BK8043,hennep,"['Germany', 'Belgium', 'Spain', 'Italy', 'France', ' United Kingdom']"
ECLI:NL:RBHAA:2009:BK8043,cannabis,"['Germany', 'Belgium', 'Spain', 'Italy', 'France', ' United Kingdom']"
ECLI:NL:RBHAA:2009:BK8043,heroïne,"['Germany', 'Belgium', 'Spain', 'Italy', 'France', ' United Kingdom']"
ECLI:NL:RBHAA:2009:BK8043,diamorfine,"['Germany', 'Belgium', 'Spain', 'Italy', 'France', ' United Kingdom']"
ECLI:NL:RBHAA:2009:BK8043,mdma,"['Germany', 'Belgium', 'Spain', 'Italy', 'France', ' United Kingdom']"
ECLI:NL:RBHAA:2009:BK8043,tenamfetamine,"['Germany', 'Belgium', 'Spain', 'Italy', 'France', ' United Kingdom']"
ECLI:NL:RBHAA:2009:BK8043,mdea,"['Germany', 'Belgium', 'Spain', 'Italy', 'France', ' United Kingdom']"
ECLI:NL:HR:2021:1237,amfetamine,"[' Netherlands', ' United Kingdom']"
ECLI:NL:HR:2021:1237,drugs,[' United Kingdom']
ECLI:NL:RBROT:2020:12689,heroïne,['France']
ECLI:NL:RBZWB:2019:3286,harddrugs,[' Belgium']
ECLI:NL:PHR:2001:AA9248,drugs,"['Netherlands', ' United States', ' China', ' Japan']"
ECLI:NL:PHR:2001:AA9248,xtc,"['Netherlands', ' United States', ' China', ' Japan']"
ECLI:NL:PHR:2001:AA9248,pillen,"['Netherlands', ' United States', ' China', ' Japan']"
ECLI:NL:RBAMS:2020:4513,cocaïne,['Turkey']
ECLI:NL:RBMNE:2014:1274,drugs,"['Netherlands', 'Sweden']"
ECLI:NL:RBMNE:2014:1274,hennep,"['Netherlands', 'Sweden']"
ECLI:NL:RBMNE:2014:1274,hasj,"['Netherlands', 'Sweden']"
ECLI:NL:RBMNE:2014:1275,drugs,"['Netherlands', 'Denmark', 'Sweden', ' Netherlands']"
ECLI:NL:RBMNE:2014:1275,hennep,"['Netherlands', 'Denmark', 'Sweden']"
ECLI:NL:RBMNE:2014:1275,hasj,"['Netherlands', 'Denmark', 'Sweden']"
ECLI:NL:RBAMS:2012:BW8884,hasj,"['Morocco', 'Netherlands', 'Spain', 'Belgium', ' Belgium', 'United Kingdom']"
ECLI:NL:RBAMS:2012:BW8884,cocaïne,"['Morocco', 'Netherlands', 'Spain', 'Belgium', ' Belgium', 'United Kingdom']"
ECLI:NL:PHR:2008:BC4464,cocaïne,['Italy']
ECLI:NL:RBROT:2017:1818,drugs,"['Brazil', ' Chile']"
ECLI:NL:RBROT:2017:1818,cocaïne,"[' Chile', ' United States', 'Netherlands']"
ECLI:NL:RBZWB:2019:6296,mdma,"[' Netherlands', 'Netherlands']"
ECLI:NL:RBZWB:2019:6296,amfetamine,"[' Netherlands', 'Netherlands']"
ECLI:NL:RBZWB:2019:6296,drugs,[' Netherlands']
ECLI:NL:RBOVE:2021:2240,harddrugs,"[' Slovakia', ' Netherlands', ' Belgium']"
ECLI:NL:RBOVE:2021:2240,drugs,[' Slovakia']
ECLI:NL:OGEAC:2019:160,cocaïne,[' Netherlands']
ECLI:NL:GHDHA:2017:755,cocaïne,"['Netherlands', ' Belgium']"
ECLI:NL:RBLIM:2013:BZ9981,drugs,[' Netherlands']
ECLI:NL:PHR:2010:BN0039,heroïne,[' United Kingdom']
ECLI:NL:RBZUT:2007:AZ7312,cocaïne,[' Netherlands']
ECLI:NL:RBAMS:2014:363,cannabis,[' United Kingdom']
ECLI:NL:RBOVE:2021:1818,amfetamine,[' Netherlands']
ECLI:NL:RBOVE:2021:1818,benzylmethylketon,[' Netherlands']
ECLI:NL:RBOVE:2021:1818,bmk,[' Netherlands']
ECLI:NL:RBOVE:2021:1818,apaan,[' Netherlands']
ECLI:NL:RBOBR:2018:347,mdma,[' Netherlands']
ECLI:NL:RBOBR:2018:347,amfetamine,[' Netherlands']
ECLI:NL:RBGEL:2016:1716,gbl,"[' Ethiopia', 'China']"
ECLI:NL:RBGEL:2016:1716,ghb,[' Ethiopia']
ECLI:NL:RBZWB:2021:2020,drugs,[' Netherlands']
ECLI:NL:RBZWB:2021:2020,mdma,[' Netherlands']
ECLI:NL:RBZWB:2021:2020,amfetamine,[' Germany']
ECLI:NL:RBGEL:2021:921,drugs,['Denmark']
ECLI:NL:RBGEL:2021:921,harddrugs,[' Belgium']
ECLI:NL:GHAMS:2021:554,drugs,[' United Kingdom']
ECLI:NL:PHR:2011:BP4643,cocaïne,[' Netherlands']
ECLI:NL:GHSGR:2006:AZ4153,drugs,[' Netherlands']
ECLI:NL:RBLIM:2019:2426,mdma,[' Netherlands']
ECLI:NL:RBLIM:2019:2426,xtc-pillen,[' Netherlands']
ECLI:NL:PHR:2015:1465,drugs,"[' Netherlands', 'Netherlands']"
ECLI:NL:RBOBR:2015:2084,drugs,[' Netherlands']
ECLI:NL:RBOBR:2015:2084,amfetamine,[' Netherlands']
ECLI:NL:RBAMS:2020:1048,harddrugs,[' Belgium']
ECLI:NL:RBUTR:2007:BC0980,heroïne,[' United Kingdom']
ECLI:NL:RBUTR:2007:BC0980,drugs,[' United Kingdom']
ECLI:NL:RBZWB:2020:2526,amfetamineolie,[' Netherlands']
ECLI:NL:RBZWB:2020:2526,mapa,[' Netherlands']
ECLI:NL:RBZWB:2020:2526,bmk,[' Netherlands']
ECLI:NL:RBZWB:2020:2526,amfetamine,[' Netherlands']
ECLI:NL:RBAMS:2019:7799,cocaïne,"[' Netherlands', 'Netherlands']"
ECLI:NL:GHSHE:2019:4873,amfetamine,[' United Kingdom']
ECLI:NL:GHSHE:2019:4873,amfetaminebase,[' United Kingdom']
ECLI:NL:RBBRE:2002:AD9165,drugs,[' United Kingdom']
ECLI:NL:RBZUT:2008:BC9849,harddrugs,[' Netherlands']
ECLI:NL:HR:2016:3382,harddrugs,['Spain']
ECLI:NL:GHSGR:2001:AE0340,cocaïne,"[' Netherlands', 'Netherlands']"
ECLI:NL:RBGEL:2015:2830,hasj,"['Morocco', 'Spain', 'Netherlands']"
ECLI:NL:RBGEL:2015:2830,hasjiesj,"['Morocco', 'Netherlands']"
ECLI:NL:RBOBR:2019:5937,drugs,"['Poland', 'Germany', 'Netherlands', ' Netherlands']"
ECLI:NL:RBAMS:2019:6228,apaan,"['Romania', 'Netherlands', 'Germany']"
ECLI:NL:RBAMS:2019:6228,drugs,"['Germany', 'Belgium', 'China', 'Netherlands']"
ECLI:NL:OGEAC:2019:159,cocaïne,[' Netherlands']
ECLI:NL:GHSHE:2016:1544,drugs,['Belgium']
ECLI:NL:RBMID:2008:BF0396,drugs,[' Netherlands']
ECLI:NL:PHR:2008:BD1715,pillen,[' United States']
ECLI:NL:PHR:2008:BD1715,mdma,[' United States']
ECLI:NL:RBOVE:2020:4647,cocaïne,[' Netherlands']
ECLI:NL:GHAMS:2019:1152,harddrugs,[' Netherlands']
ECLI:NL:GHAMS:2019:1152,drugs,['Ireland']
ECLI:NL:PHR:2014:1819,methamfetamine,['Australia']
ECLI:NL:PHR:2014:1819,pseudo-efedrine,"['Australia', ' India', ' Australia']"
ECLI:NL:RBBRE:2008:BC4490,amfetamine,['Belgium']
ECLI:NL:RBBRE:2008:BC4490,xtc,['Belgium']
ECLI:NL:RBBRE:2008:BC4490,methanol,"[' Netherlands', ' Sweden', ' Turkey', ' United States']"
ECLI:NL:RBBRE:2008:BC4490,pmk,"[' Netherlands', ' Sweden', ' Turkey', ' United States']"
ECLI:NL:RBBRE:2008:BC4490,harddrugs,"[' Netherlands', ' Sweden', ' Turkey', ' United States']"
ECLI:NL:RBGEL:2021:7220,crystal,[' Germany']
ECLI:NL:RBZWB:2018:6175,cocaïne,[' Netherlands']
ECLI:NL:RBZWB:2018:6175,drugs,['Colombia']
ECLI:NL:PHR:2015:2651,drugs,[' Netherlands']
ECLI:NL:RBOBR:2015:2494,amfetamine,"['Belgium', 'Netherlands']"
ECLI:NL:RBOBR:2015:2494,mierenzuur,"['Belgium', 'Netherlands']"
ECLI:NL:RBOBR:2015:2494,drugs,[' Netherlands']
ECLI:NL:RBLIM:2014:3184,hennep,['Germany']
ECLI:NL:RBUTR:2012:7099,cocaïne,"[' Netherlands', 'Netherlands']"
ECLI:NL:RBUTR:2012:7099,heroïne,"[' Netherlands', 'Netherlands']"
ECLI:NL:RBMNE:2020:2092,drugs,[' Netherlands']
ECLI:NL:RBOVE:2019:161,xtc-pillen,[' Finland']
ECLI:NL:RBOVE:2019:161,lsd,[' Finland']
ECLI:NL:RBAMS:2020:4519,cocaïne,['Turkey']
ECLI:NL:RBZWB:2020:2528,amfetamineolie,[' Netherlands']
ECLI:NL:RBZWB:2020:2528,mapa,[' Netherlands']
ECLI:NL:RBZWB:2020:2528,bmk,[' Netherlands']
ECLI:NL:RBZWB:2020:2528,amfetamine,[' Netherlands']
ECLI:NL:RBOBR:2018:1246,bmk,"[' Netherlands', ' Belgium']"
ECLI:NL:RBOBR:2018:1246,amfetamine,"[' Netherlands', ' Belgium']"
ECLI:NL:RBOBR:2018:1246,mdma,[' Netherlands']
ECLI:NL:RBOBR:2018:1246,mefedron,[' Netherlands']
ECLI:NL:RBOBR:2018:1246,cocaïne,[' Netherlands']
ECLI:NL:RBOBR:2018:1246,harddrugs,[' Netherlands']
ECLI:NL:RBLIM:2017:11099,hennep,['Germany']
ECLI:NL:GHAMS:2014:2840,drugs,"[' Belgium', ' Anchorage']"
ECLI:NL:GHAMS:2014:2840,hennep,"[' Netherlands', 'Belgium', 'Netherlands']"
ECLI:NL:RBNHO:2014:8607,drugs,['South America']
ECLI:NL:RBNHO:2014:8607,cocaïne,"['South America', 'Netherlands', ' Netherlands', 'Belgium', 'Italy', 'Spain']"
ECLI:NL:RBDHA:2022:2704,drugs,"['Spain', 'France', ' Netherlands']"
ECLI:NL:RBOBR:2019:2981,amfetamine,"['China', 'Netherlands']"
ECLI:NL:RBOBR:2019:2981,apaan,"['China', 'Netherlands']"
ECLI:NL:RBOBR:2019:2982,amfetamine,"['China', 'Germany', 'Denmark', 'Netherlands']"
ECLI:NL:RBOBR:2019:2982,mdma,['Germany']
ECLI:NL:RBOBR:2019:2982,amfetamine-olie,['Denmark']
ECLI:NL:RBOBR:2019:2982,apaan,"['China', 'Netherlands']"
ECLI:NL:RBOBR:2019:2982,bmk,"['China', 'Netherlands']"
ECLI:NL:HR:2006:AX2032,cocaïne,"['Netherlands', ' Netherlands']"
ECLI:NL:RBALK:2011:BR1616,lsd,"['Netherlands', 'Brazil']"
ECLI:NL:RBALK:2011:BR1616,drugs,['Brazil']
ECLI:NL:RBGEL:2021:2099,harddrugs,[' Belgium']
ECLI:NL:RBGEL:2021:2099,hennep,[' Belgium']
ECLI:NL:RBHAA:2011:BU8998,cocaïne,"[' Netherlands', 'Suriname', 'Kenya', 'Ghana', 'Netherlands']"
ECLI:NL:GHAMS:2020:2369,pillen,"[' Netherlands', 'Netherlands', 'Japan']"
ECLI:NL:GHAMS:2020:2369,mdma,"[' Netherlands', 'Netherlands', 'Japan']"
ECLI:NL:GHARL:2015:10198,harddrugs,['Spain']
ECLI:NL:GHAMS:2013:461,drugs,[' Netherlands']
ECLI:NL:RBUTR:2009:BK6617,harddrugs,"['United Kingdom', 'Netherlands', ' Belgium']"
ECLI:NL:PHR:2008:BD1904,drugs,[' Iceland']
ECLI:NL:RBGEL:2021:7219,crystal,[' Germany']
ECLI:NL:RBOBR:2016:255,mdma,[' Netherlands']
ECLI:NL:RBOBR:2016:255,drugs,[' Netherlands']
ECLI:NL:RBGEL:2014:4631,harddrugs,[' Netherlands']
ECLI:NL:RBGEL:2014:4631,cocaïne,[' Netherlands']
ECLI:NL:RBUTR:2007:BB8313,cocaïne,[' Netherlands']
ECLI:NL:RBZWB:2020:5201,drugs,[' Netherlands']
