,ecli,drug,relevant_countries,volume,volume_type,general_volume_type,general_volume,countries_present,verdict_date,general_drug_type,semi_general_drug_type
2349,ECLI:NL:GHSHE:2012:BY4898,cocaïne,['Germany'],N/A,N/A,undefined,0,"{'Germany': ['Bondsrepubliek Duitsland', 'Duitsland'], 'Tunisia': ['Tunesië']}",2012-03-12,harddrugs,cocaine
2350,ECLI:NL:GHSHE:2012:BY4898,xtc-tabletten,['Germany'],N/A,N/A,undefined,0,"{'Germany': ['Bondsrepubliek Duitsland', 'Duitsland'], 'Tunisia': ['Tunesië']}",2012-03-12,harddrugs,amphetamines
2351,ECLI:NL:GHSHE:2012:BY4898,hennep,['Germany'],30,gram,gr,30,"{'Germany': ['Bondsrepubliek Duitsland', 'Duitsland'], 'Tunisia': ['Tunesië']}",2012-03-12,softdrugs,cannabis
2352,ECLI:NL:GHSHE:2012:BY4898,lsd,['Germany'],N/A,N/A,undefined,0,"{'Germany': ['Bondsrepubliek Duitsland', 'Duitsland'], 'Tunisia': ['Tunesië']}",2012-03-12,harddrugs,psychedelics
2353,ECLI:NL:RBGRO:2010:BL2506,hasj,"['Germany', 'France']",elf,kilo,kg,0,"{'Germany': ['Duitsland'], 'France': ['Frankrijk', 'Périgueux', 'Parijs', 'Brantôme'], 'United Kingdom': ['Kiezebrink']}",2010-05-02,softdrugs,cannabis
2354,ECLI:NL:RBGRO:2010:BL2506,hennep,"['Netherlands', 'Germany', 'France']",vijf,kilo,kg,5,"{'Germany': ['Duitsland'], 'France': ['Frankrijk', 'Périgueux', 'Parijs', 'Brantôme'], 'United Kingdom': ['Kiezebrink']}",2010-05-02,softdrugs,cannabis
2355,ECLI:NL:RBGRO:2010:BL2506,wiet,['Germany'],N/A,N/A,undefined,0,"{'Germany': ['Duitsland'], 'France': ['Frankrijk', 'Périgueux', 'Parijs', 'Brantôme'], 'United Kingdom': ['Kiezebrink']}",2010-05-02,softdrugs,cannabis
2356,ECLI:NL:RBGRO:2010:BL2506,drugs,['France'],N/A,N/A,undefined,0,"{'Germany': ['Duitsland'], 'France': ['Frankrijk', 'Périgueux', 'Parijs', 'Brantôme'], 'United Kingdom': ['Kiezebrink']}",2010-05-02,unspecified,unspecified
2357,ECLI:NL:GHSHE:2006:BY3876,mdma,['Netherlands'],483,kilogram,kg,483,"{'Germany': ['Lübeck', 'Duitsland', 'Aachen', 'Bremen'], 'Spain': ['Spanje'], 'Venezuela': ['Venezuela'], 'Colombia': ['Colombia'], 'Ireland': ['Dublin'], 'Belgium': ['België', 'Antwerpen', 'Luik'], 'Greece': ['Griekenland'], 'Poland': ['Polen'], 'France': ['Frankrijk'], 'United Kingdom': ['Engeland'], 'Israel': ['Israëli']}",2006-02-02,harddrugs,amphetamines
2358,ECLI:NL:GHSHE:2006:BY3876,mdea,['Netherlands'],483,kilogram,kg,483,"{'Germany': ['Lübeck', 'Duitsland', 'Aachen', 'Bremen'], 'Spain': ['Spanje'], 'Venezuela': ['Venezuela'], 'Colombia': ['Colombia'], 'Ireland': ['Dublin'], 'Belgium': ['België', 'Antwerpen', 'Luik'], 'Greece': ['Griekenland'], 'Poland': ['Polen'], 'France': ['Frankrijk'], 'United Kingdom': ['Engeland'], 'Israel': ['Israëli']}",2006-02-02,harddrugs,amphetamines
2359,ECLI:NL:GHSHE:2006:BY3876,amfetamine,['Netherlands'],483,kilogram,kg,483,"{'Germany': ['Lübeck', 'Duitsland', 'Aachen', 'Bremen'], 'Spain': ['Spanje'], 'Venezuela': ['Venezuela'], 'Colombia': ['Colombia'], 'Ireland': ['Dublin'], 'Belgium': ['België', 'Antwerpen', 'Luik'], 'Greece': ['Griekenland'], 'Poland': ['Polen'], 'France': ['Frankrijk'], 'United Kingdom': ['Engeland'], 'Israel': ['Israëli']}",2006-02-02,harddrugs,amphetamines
2360,ECLI:NL:GHSHE:2006:BY3876,xtc-pillen,"['Netherlands', 'Germany']",N/A,N/A,undefined,0,"{'Germany': ['Lübeck', 'Duitsland', 'Aachen', 'Bremen'], 'Spain': ['Spanje'], 'Venezuela': ['Venezuela'], 'Colombia': ['Colombia'], 'Ireland': ['Dublin'], 'Belgium': ['België', 'Antwerpen', 'Luik'], 'Greece': ['Griekenland'], 'Poland': ['Polen'], 'France': ['Frankrijk'], 'United Kingdom': ['Engeland'], 'Israel': ['Israëli']}",2006-02-02,harddrugs,amphetamines
2361,ECLI:NL:GHSHE:2006:BY3876,cocaïne,['Netherlands'],N/A,N/A,undefined,0,"{'Germany': ['Lübeck', 'Duitsland', 'Aachen', 'Bremen'], 'Spain': ['Spanje'], 'Venezuela': ['Venezuela'], 'Colombia': ['Colombia'], 'Ireland': ['Dublin'], 'Belgium': ['België', 'Antwerpen', 'Luik'], 'Greece': ['Griekenland'], 'Poland': ['Polen'], 'France': ['Frankrijk'], 'United Kingdom': ['Engeland'], 'Israel': ['Israëli']}",2006-02-02,harddrugs,cocaine
2362,ECLI:NL:GHSHE:2006:BY3876,tabletten,['Netherlands'],483,kilogram,kg,483,"{'Germany': ['Lübeck', 'Duitsland', 'Aachen', 'Bremen'], 'Spain': ['Spanje'], 'Venezuela': ['Venezuela'], 'Colombia': ['Colombia'], 'Ireland': ['Dublin'], 'Belgium': ['België', 'Antwerpen', 'Luik'], 'Greece': ['Griekenland'], 'Poland': ['Polen'], 'France': ['Frankrijk'], 'United Kingdom': ['Engeland'], 'Israel': ['Israëli']}",2006-02-02,unspecified,unspecified
2363,ECLI:NL:GHSHE:2006:BY3876,drugs,['United Kingdom'],N/A,N/A,undefined,0,"{'Germany': ['Lübeck', 'Duitsland', 'Aachen', 'Bremen'], 'Spain': ['Spanje'], 'Venezuela': ['Venezuela'], 'Colombia': ['Colombia'], 'Ireland': ['Dublin'], 'Belgium': ['België', 'Antwerpen', 'Luik'], 'Greece': ['Griekenland'], 'Poland': ['Polen'], 'France': ['Frankrijk'], 'United Kingdom': ['Engeland'], 'Israel': ['Israëli']}",2006-02-02,unspecified,unspecified
2364,ECLI:NL:GHSHE:2006:BY3876,pillen,"['Germany', 'Netherlands']",30,kilometer,undefined,30,"{'Germany': ['Lübeck', 'Duitsland', 'Aachen', 'Bremen'], 'Spain': ['Spanje'], 'Venezuela': ['Venezuela'], 'Colombia': ['Colombia'], 'Ireland': ['Dublin'], 'Belgium': ['België', 'Antwerpen', 'Luik'], 'Greece': ['Griekenland'], 'Poland': ['Polen'], 'France': ['Frankrijk'], 'United Kingdom': ['Engeland'], 'Israel': ['Israëli']}",2006-02-02,unspecified,unspecified
2365,ECLI:NL:GHSHE:2006:BY3876,xtc-tabletten,['Germany'],N/A,N/A,undefined,0,"{'Germany': ['Lübeck', 'Duitsland', 'Aachen', 'Bremen'], 'Spain': ['Spanje'], 'Venezuela': ['Venezuela'], 'Colombia': ['Colombia'], 'Ireland': ['Dublin'], 'Belgium': ['België', 'Antwerpen', 'Luik'], 'Greece': ['Griekenland'], 'Poland': ['Polen'], 'France': ['Frankrijk'], 'United Kingdom': ['Engeland'], 'Israel': ['Israëli']}",2006-02-02,harddrugs,amphetamines
2366,ECLI:NL:PHR:2004:AP4206,mdma,[],N/A,N/A,undefined,0,"{'United Kingdom': ['Groot-Brittannië', 'Londen', 'Engeland'], 'Belgium': ['België'], 'Bosnia and Herzegovina': ['Bosnië'], 'France': ['Calais', 'Frankrijk']}",2004-09-28,harddrugs,amphetamines
2367,ECLI:NL:PHR:2004:AP4206,xtc-tabletten,[],N/A,N/A,undefined,0,"{'United Kingdom': ['Groot-Brittannië', 'Londen', 'Engeland'], 'Belgium': ['België'], 'Bosnia and Herzegovina': ['Bosnië'], 'France': ['Calais', 'Frankrijk']}",2004-09-28,harddrugs,amphetamines
2368,ECLI:NL:PHR:2004:AP4206,aceton,"['Belgium', 'Bosnia and Herzegovina']",N/A,N/A,undefined,0,"{'United Kingdom': ['Groot-Brittannië', 'Londen', 'Engeland'], 'Belgium': ['België'], 'Bosnia and Herzegovina': ['Bosnië'], 'France': ['Calais', 'Frankrijk']}",2004-09-28,precursor,precursor
2369,ECLI:NL:PHR:2004:AP4206,drugs,[],N/A,N/A,undefined,0,"{'United Kingdom': ['Groot-Brittannië', 'Londen', 'Engeland'], 'Belgium': ['België'], 'Bosnia and Herzegovina': ['Bosnië'], 'France': ['Calais', 'Frankrijk']}",2004-09-28,unspecified,unspecified
2370,ECLI:NL:GHAMS:2000:AA6621,pillen,[],46,pillen,pills,46,"{'France': ['Frankrijk'], 'United Kingdom': ['Engeland']}",2000-07-25,unspecified,unspecified
2371,ECLI:NL:RBLIM:2021:378,cocaïne,"['Belgium', 'Netherlands']",N/A,N/A,undefined,0,"{'Germany': ['Duitsland'], 'Belgium': ['Overpelt', 'Sint Huibrechts', 'België'], 'France': ['Lille'], 'United Kingdom': ['TA15'], 'Israel': ['District Noord-']}",2021-01-18,harddrugs,cocaine
2372,ECLI:NL:RBLIM:2021:378,heroïne,"['Belgium', 'Netherlands']",N/A,N/A,undefined,0,"{'Germany': ['Duitsland'], 'Belgium': ['Overpelt', 'Sint Huibrechts', 'België'], 'France': ['Lille'], 'United Kingdom': ['TA15'], 'Israel': ['District Noord-']}",2021-01-18,harddrugs,heroin
2373,ECLI:NL:RBLIM:2021:378,harddrugs,['Netherlands'],N/A,N/A,undefined,0,"{'Germany': ['Duitsland'], 'Belgium': ['Overpelt', 'Sint Huibrechts', 'België'], 'France': ['Lille'], 'United Kingdom': ['TA15'], 'Israel': ['District Noord-']}",2021-01-18,harddrugs,unspecified
2374,ECLI:NL:RBLIM:2022:3229,drugs,['Germany'],N/A,N/A,undefined,0,"{'Germany': ['Duitsland', 'Bielefeld', 'Bondsrepubliek Duitsland']}",2022-04-26,unspecified,unspecified
2375,ECLI:NL:RBAMS:2020:5413,drugs,[],N/A,N/A,undefined,0,"{'United Kingdom': ['Verenigd Koninkrijk', 'the UK', 'Engeland', 'Wales', 'Leicester', 'Bedford'], 'Germany': ['Bondsrepubliek Duitsland'], 'Austria': ['Oostenrijk'], 'Slovenia': ['Slovenië']}",2020-03-11,unspecified,unspecified
2376,ECLI:NL:RBZWB:2019:543,amfetamine,[],N/A,N/A,undefined,0,{'Belgium': ['Gorpeind']},2019-12-02,harddrugs,amphetamines
