year,week_number,0
2016,44,28.571428571428577
2016,45,14.285714285714288
2016,46,14.285714285714288
2016,48,85.71428571428572
2016,49,57.14285714285715
2016,50,71.42857142857143
2016,51,85.71428571428572
2016,52,28.571428571428577
2017,1,33.33333333333333
2017,2,22.22222222222222
2017,3,22.22222222222222
2017,4,100.0
2017,5,22.22222222222222
2017,6,22.22222222222222
2017,7,22.22222222222222
2017,8,11.11111111111111
2017,9,11.11111111111111
2017,10,22.22222222222222
2017,11,33.33333333333333
2017,12,55.55555555555556
2017,13,11.11111111111111
2017,14,22.22222222222222
2017,15,22.22222222222222
2017,16,22.22222222222222
2017,17,66.66666666666666
2017,18,11.11111111111111
2017,19,44.44444444444444
2017,20,33.33333333333333
2017,21,22.22222222222222
2017,22,33.33333333333333
2017,23,55.55555555555556
2017,24,11.11111111111111
2017,25,22.22222222222222
2017,26,55.55555555555556
2017,27,33.33333333333333
2017,29,11.11111111111111
2017,30,55.55555555555556
2017,32,33.33333333333333
2017,33,11.11111111111111
2017,35,11.11111111111111
2017,36,44.44444444444444
2017,37,33.33333333333333
2017,38,11.11111111111111
2017,39,33.33333333333333
2017,40,11.11111111111111
2017,41,88.88888888888889
2017,42,11.11111111111111
2017,43,22.22222222222222
2017,44,22.22222222222222
2017,45,44.44444444444444
2017,46,22.22222222222222
2017,47,33.33333333333333
2017,48,11.11111111111111
2017,49,22.22222222222222
2017,50,33.33333333333333
2017,51,22.22222222222222
2017,52,11.11111111111111
2018,1,42.85714285714286
2018,2,85.71428571428572
2018,4,28.57142857142857
2018,5,28.57142857142857
2018,6,57.14285714285714
2018,7,57.14285714285714
2018,8,71.42857142857143
2018,9,100.0
2018,10,14.285714285714285
2018,11,57.14285714285714
2018,12,14.285714285714285
2018,13,42.85714285714286
2018,14,28.57142857142857
2018,15,42.85714285714286
2018,16,28.57142857142857
2018,17,42.85714285714286
2018,19,42.85714285714286
2018,20,57.14285714285714
2018,21,28.57142857142857
2018,22,14.285714285714285
2018,23,42.85714285714286
2018,24,42.85714285714286
2018,25,28.57142857142857
2018,26,14.285714285714285
2018,27,14.285714285714285
2018,28,42.85714285714286
2018,29,100.0
2018,30,57.14285714285714
2018,31,42.85714285714286
2018,33,14.285714285714285
2018,34,57.14285714285714
2018,35,42.85714285714286
2018,37,57.14285714285714
2018,38,71.42857142857143
2018,39,57.14285714285714
2018,40,57.14285714285714
2018,41,42.85714285714286
2018,42,42.85714285714286
2018,43,42.85714285714286
2018,44,28.57142857142857
2018,45,42.85714285714286
2018,46,57.14285714285714
2018,48,57.14285714285714
2018,49,85.71428571428572
2018,50,28.57142857142857
2018,51,42.85714285714286
2018,52,14.285714285714285
2019,1,11.11111111111111
2019,2,66.66666666666666
2019,3,11.11111111111111
2019,4,44.44444444444444
2019,5,22.22222222222222
2019,6,22.22222222222222
2019,7,44.44444444444444
2019,8,11.11111111111111
2019,10,22.22222222222222
2019,11,66.66666666666666
2019,12,44.44444444444444
2019,13,11.11111111111111
2019,14,11.11111111111111
2019,15,22.22222222222222
2019,16,22.22222222222222
2019,17,33.33333333333333
2019,18,11.11111111111111
2019,19,33.33333333333333
2019,20,22.22222222222222
2019,21,55.55555555555556
2019,22,33.33333333333333
2019,23,33.33333333333333
2019,24,33.33333333333333
2019,25,22.22222222222222
2019,26,33.33333333333333
2019,27,44.44444444444444
2019,28,44.44444444444444
2019,29,44.44444444444444
2019,30,77.77777777777777
2019,31,44.44444444444444
2019,32,66.66666666666666
2019,33,55.55555555555556
2019,34,22.22222222222222
2019,35,33.33333333333333
2019,36,22.22222222222222
2019,37,22.22222222222222
2019,38,55.55555555555556
2019,39,55.55555555555556
2019,40,66.66666666666666
2019,41,33.33333333333333
2019,42,44.44444444444444
2019,43,22.22222222222222
2019,44,22.22222222222222
2019,45,55.55555555555556
2019,46,100.0
2019,47,88.88888888888889
2019,48,44.44444444444444
2019,49,11.11111111111111
2019,50,100.0
2019,51,100.0
2019,52,44.44444444444444
2020,2,57.14285714285714
2020,3,100.0
2020,4,42.857142857142854
2020,5,28.57142857142857
2020,6,42.857142857142854
2020,7,42.857142857142854
2020,8,42.857142857142854
2020,9,28.57142857142857
2020,10,42.857142857142854
2020,11,57.14285714285714
2020,12,42.857142857142854
2020,13,42.857142857142854
2020,14,14.285714285714285
2020,15,28.57142857142857
2020,16,14.285714285714285
2020,17,14.285714285714285
2020,18,57.14285714285714
2020,19,14.285714285714285
2020,20,42.857142857142854
2020,21,85.71428571428571
2020,22,42.857142857142854
2020,23,71.42857142857142
2020,24,14.285714285714285
2020,25,28.57142857142857
2020,26,28.57142857142857
2020,27,100.0
2020,29,42.857142857142854
2020,30,28.57142857142857
2020,31,14.285714285714285
2020,32,71.42857142857142
2020,33,14.285714285714285
2020,34,14.285714285714285
2020,36,42.857142857142854
2020,37,42.857142857142854
2020,38,14.285714285714285
2020,39,57.14285714285714
2020,40,42.857142857142854
2020,41,85.71428571428571
2020,42,14.285714285714285
2020,43,42.857142857142854
2020,44,14.285714285714285
2020,45,28.57142857142857
2020,46,71.42857142857142
2020,47,28.57142857142857
2020,48,57.14285714285714
2020,49,85.71428571428571
2020,50,57.14285714285714
2020,51,42.857142857142854
2020,52,14.285714285714285
2020,53,14.285714285714285
2021,1,10.0
2021,2,40.0
2021,3,20.0
2021,4,10.0
2021,5,20.0
2021,6,10.0
2021,7,20.0
2021,8,50.0
2021,9,30.000000000000004
2021,10,40.0
2021,11,50.0
2021,13,20.0
2021,14,40.0
2021,15,20.0
2021,16,30.000000000000004
2021,17,40.0
2021,19,20.0
2021,20,70.0
2021,21,100.0
2021,22,20.0
2021,23,50.0
2021,24,50.0
2021,25,10.0
2021,26,40.0
2021,27,10.0
2021,28,40.0
2021,29,20.0
2021,31,10.0
2021,32,30.000000000000004
2021,33,30.000000000000004
2021,34,40.0
2021,35,30.000000000000004
2021,36,30.000000000000004
2021,37,50.0
2021,38,30.000000000000004
2021,39,50.0
2021,42,10.0
2021,43,80.0
2021,45,30.000000000000004
2021,46,30.000000000000004
2021,47,30.000000000000004
2021,48,30.000000000000004
2021,49,30.000000000000004
2021,50,10.0
2021,52,30.000000000000004
2022,1,12.5
2022,2,12.5
2022,5,37.5
2022,6,100.0
2022,7,50.0
2022,8,37.5
2022,9,50.0
2022,10,12.5
2022,11,12.5
2022,12,12.5
2022,13,50.0
2022,14,50.0
2022,15,50.0
2022,16,25.0
2022,17,37.5
2022,18,37.5
2022,19,62.5
2022,20,25.0
2022,23,37.5
2022,24,12.5
2022,25,50.0
2022,26,25.0
2022,28,37.5
2022,29,37.5
2022,30,12.5
2022,32,37.5
2022,33,12.5
2022,34,12.5
2022,35,25.0
2022,36,12.5
2022,38,12.5
2022,40,12.5
2022,41,25.0
2022,42,25.0
2022,44,50.0
2022,45,12.5
2022,46,25.0
2022,48,12.5
