,Tweets per week (Absolute),Tweets per week (Relative)
1,287,0.01602367260342806
2,296,0.01652615711015577
3,242,0.013511250069789515
4,272,0.015186198425548546
5,286,0.015967840991569428
6,315,0.017586957735469824
7,353,0.01970855898609793
8,268,0.014962871978114007
9,176,0.009826363687119647
10,295,0.016470325498297137
11,228,0.012729607503768633
12,229,0.012785439115627267
13,227,0.012673775891909999
14,238,0.013287923622354977
15,187,0.010440511417564625
16,304,0.016972810005024846
17,321,0.01792194740662163
18,235,0.013120428786779074
19,324,0.018089442242197534
20,238,0.013287923622354977
21,282,0.015744514544134888
22,276,0.015409524872983082
23,236,0.013176260398637708
24,234,0.01306459717492044
25,185,0.010328848193847356
26,326,0.018201105465914802
27,321,0.01792194740662163
28,377,0.021048517670705154
29,462,0.025794204678689075
30,227,0.012673775891909999
31,189,0.010552174641281893
32,281,0.015688682932276255
33,455,0.025403383395678634
34,527,0.02942325944950031
35,361,0.020155211880967003
36,1080,0.06029814080732511
37,426,0.023784266651778237
38,607,0.033889788398191054
39,436,0.02434258277036458
40,709,0.03958461280777176
41,502,0.02802746915303445
42,597,0.033331472279604715
43,248,0.01384623974094132
44,288,0.016079504215286696
45,409,0.02283512925018145
46,490,0.027357489810730835
47,347,0.01937356931494612
48,377,0.021048517670705154
49,344,0.01920607447937022
50,408,0.02277929763832282
51,345,0.019261906091228853
52,238,0.013287923622354977
